doc_id,text
1,Excellent performance and a crisp UI. Best smartphone I've ever owned.
2,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
3,The customer service has been unhelpful in resolving issues with the phone. Horrible customer service so I'll never recommend going for this phone.
4,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
5,"Excellent performance and a crisp UI. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
6,I've been experiencing constant lag and performance issues with this phone. Horrible customer service so I'll never recommend going for this phone.
7,"Would not recommend it!!! The battery life is terrible, very disappointing. Satisfied with the purchase, good value for money."
8,"Great features in this budget fone but poor camera quality. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
9,Best smartphone I've ever owned. Excellent performance and a crisp UI.
10,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
11,Horrible customer service so I'll never recommend going for this phone. Excellent performance and a crisp UI.
12,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Best smartphone I've ever owned."
13,"The battery doesn’t last long, even with minimal usage throughout the day.The customer service has been unhelpful in resolving issues with the phone.?????"
14,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
15,Superb display and fast processing speed. Best smartphone I've ever owned.
16,"Not worth the price, very underwhelming product. Superb display and fast processing speed."
17,Great features in this budget fone but poor camera quality. Horrible customer service so I'll never recommend going for this phone.
18,"Horrible customer service so I'll never recommend going for this phone. Terrible design, phone's very uncomfortable to hold."
19,Best smartphone I've ever owned. Horrible customer service so I'll never recommend going for this phone.
20,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
21,"Not worth the price, very underwhelming product. Terrible design, phone's very uncomfortable to hold. "
22,"Terrible design, phone's very uncomfortable to hold. Terrible design, phone's very uncomfortable to hold."
23,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Great features in this budget fone but poor camera quality."
24,"Terrible design, phone's very uncomfortable to hold. Superb display and fast processing speed."
25,Great features in this budget fone but poor camera quality. Superb display and fast processing speed.
26,"Satisfied with the purchase, good value for money. Best smartphone I've ever owned."
27,"Terrible design, phone's very uncomfortable to hold. Would not recommend it!!! The battery life is terrible, very disappointing."
28,"Horrible customer service so I'll never recommend going for this phone. Satisfied with the purchase, good value for money."
29,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
30,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
31,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
32,"Horrible customer service so I'll never recommend going for this phone. Would not recommend it!!! The battery life is terrible, very disappointing."
33,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Would not recommend it!!! The battery life is terrible, very disappointing."
34,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
35,Excellent performance and a crisp UI. Best smartphone I've ever owned.
36,"Best smartphone I've ever owned. Not worth the price, very underwhelming product."
37,"Would not recommend it!!! The battery life is terrible, very disappointing. Excellent performance and a crisp UI."
38,Superb display and fast processing speed. Excellent performance and a crisp UI.
39,Superb display and fast processing speed. Excellent performance and a crisp UI.
40,"Terrible design, phone's very uncomfortable to hold. Satisfied with the purchase, good value for money."
41,"Great features in this budget fone but poor camera quality. Terrible design, phone's very uncomfortable to hold."
42,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
43,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
44,"Great features in this budget fone but poor camera quality. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
45,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
46,"Excellent performance and a crisp UI. Terrible design, phone's very uncomfortable to hold."
47,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
48,"Best smartphone I've ever owned. Terrible design, phone's very uncomfortable to hold."
49,"Not worth the price, very underwhelming product. Best smartphone I've ever owned."
50,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Satisfied with the purchase, good value for money."
51,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
52,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
53,Excellent performance and a crisp UI. Horrible customer service so I'll never recommend going for this phone.
54,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Superb display and fast processing speed."
55,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
56,"Satisfied with the purchase, good value for money. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
57,"Satisfied with the purchase, good value for money. Great features in this budget fone but poor camera quality."
58,"Not worth the price, very underwhelming product. Satisfied with the purchase, good value for money."
59,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
60,"Terrible design, phone's very uncomfortable to hold. Satisfied with the purchase, good value for money."
61,"Not worth the price, very underwhelming product. Would not recommend it!!! The battery life is terrible, very disappointing."
62,"Satisfied with the purchase, good value for money. Satisfied with the purchase, good value for money."
63,"Terrible design, phone's very uncomfortable to hold. Great features in this budget fone but poor camera quality."
64,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
65,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
66,"Not worth the price, very underwhelming product. Best smartphone I've ever owned."
67,"Superb display and fast processing speed. Terrible design, phone's very uncomfortable to hold."
68,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
69,"Excellent performance and a crisp UI. Satisfied with the purchase, good value for money."
70,"Best smartphone I've ever owned. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
71,"Great features in this budget fone but poor camera quality. Not worth the price, very underwhelming product."
72,"Not worth the price, very underwhelming product. Excellent performance and a crisp UI."
73,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
74,Superb display and fast processing speed. Best smartphone I've ever owned.
75,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
76,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
77,"Excellent performance and a crisp UI. Not worth the price, very underwhelming product."
78,"Terrible design, phone's very uncomfortable to hold. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
79,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
80,"Horrible customer service so I'll never recommend going for this phone. Would not recommend it!!! The battery life is terrible, very disappointing."
81,Excellent performance and a crisp UI. Best smartphone I've ever owned.
82,"Terrible design, phone's very uncomfortable to hold. Horrible customer service so I'll never recommend going for this phone."
83,"Satisfied with the purchase, good value for money. Excellent performance and a crisp UI."
84,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
85,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
86,"Satisfied with the purchase, good value for money. Not worth the price, very underwhelming product."
87,Horrible customer service so I'll never recommend going for this phone. Horrible customer service so I'll never recommend going for this phone.
88,Horrible customer service so I'll never recommend going for this phone. Best smartphone I've ever owned.
89,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
90,Great features in this budget fone but poor camera quality. Excellent performance and a crisp UI.
91,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
92,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
93,Excellent performance and a crisp UI. Best smartphone I've ever owned.
94,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Best smartphone I've ever owned."
95,Excellent performance and a crisp UI. Horrible customer service so I'll never recommend going for this phone.
96,"Satisfied with the purchase, good value for money. Terrible design, phone's very uncomfortable to hold."
97,Superb display and fast processing speed. Great features in this budget fone but poor camera quality.
98,Best smartphone I've ever owned. Horrible customer service so I'll never recommend going for this phone.
99,"Satisfied with the purchase, good value for money. Would not recommend it!!! The battery life is terrible, very disappointing."
100,Horrible customer service so I'll never recommend going for this phone. Great features in this budget fone but poor camera quality.
101,"Superb display and fast processing speed. Satisfied with the purchase, good value for money."
102,Excellent performance and a crisp UI. Great features in this budget fone but poor camera quality.
103,Best smartphone I've ever owned. Best smartphone I've ever owned.
104,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
105,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
106,Best smartphone I've ever owned. Superb display and fast processing speed.
107,"Excellent performance and a crisp UI. Terrible design, phone's very uncomfortable to hold."
108,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
109,Great features in this budget fone but poor camera quality. Best smartphone I've ever owned.
110,"Best smartphone I've ever owned. Not worth the price, very underwhelming product."
111,"Best smartphone I've ever owned. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
112,"Satisfied with the purchase, good value for money. Superb display and fast processing speed."
113,Great features in this budget fone but poor camera quality. Great features in this budget fone but poor camera quality.
114,Superb display and fast processing speed. Great features in this budget fone but poor camera quality.
115,"Superb display and fast processing speed. Not worth the price, very underwhelming product."
116,"Great features in this budget fone but poor camera quality. Would not recommend it!!! The battery life is terrible, very disappointing."
117,Superb display and fast processing speed. Superb display and fast processing speed.
118,Best smartphone I've ever owned. Horrible customer service so I'll never recommend going for this phone.
119,"Excellent performance and a crisp UI. Terrible design, phone's very uncomfortable to hold."
120,Excellent performance and a crisp UI. Excellent performance and a crisp UI.
121,"Terrible design, phone's very uncomfortable to hold. Would not recommend it!!! The battery life is terrible, very disappointing."
122,"Satisfied with the purchase, good value for money. Would not recommend it!!! The battery life is terrible, very disappointing."
123,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Would not recommend it!!! The battery life is terrible, very disappointing."
124,"Superb display and fast processing speed. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
125,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
126,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Horrible customer service so I'll never recommend going for this phone."
127,"Satisfied with the purchase, good value for money. Superb display and fast processing speed."
128,"Terrible design, phone's very uncomfortable to hold. Excellent performance and a crisp UI."
129,"Horrible customer service so I'll never recommend going for this phone. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
130,Best smartphone I've ever owned. Great features in this budget fone but poor camera quality.
131,"Would not recommend it!!! The battery life is terrible, very disappointing. Superb display and fast processing speed."
132,Best smartphone I've ever owned. Great features in this budget fone but poor camera quality.
133,"Would not recommend it!!! The battery life is terrible, very disappointing. Horrible customer service so I'll never recommend going for this phone."
134,"Superb display and fast processing speed. Terrible design, phone's very uncomfortable to hold."
135,"Would not recommend it!!! The battery life is terrible, very disappointing. Would not recommend it!!! The battery life is terrible, very disappointing."
136,Horrible customer service so I'll never recommend going for this phone. Superb display and fast processing speed.
137,"Great features in this budget fone but poor camera quality. Terrible design, phone's very uncomfortable to hold."
138,"Excellent performance and a crisp UI. Not worth the price, very underwhelming product."
139,Excellent performance and a crisp UI. Excellent performance and a crisp UI.
140,"Satisfied with the purchase, good value for money. Terrible design, phone's very uncomfortable to hold."
141,"Satisfied with the purchase, good value for money. Satisfied with the purchase, good value for money."
142,"Horrible customer service so I'll never recommend going for this phone. Not worth the price, very underwhelming product."
143,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Excellent performance and a crisp UI."
144,Great features in this budget fone but poor camera quality. Superb display and fast processing speed.
145,"Not worth the price, very underwhelming product. Would not recommend it!!! The battery life is terrible, very disappointing."
146,"Excellent performance and a crisp UI. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
147,Great features in this budget fone but poor camera quality. Superb display and fast processing speed.
148,"Would not recommend it!!! The battery life is terrible, very disappointing. Would not recommend it!!! The battery life is terrible, very disappointing."
149,"Terrible design, phone's very uncomfortable to hold. Excellent performance and a crisp UI."
150,"Best smartphone I've ever owned. Satisfied with the purchase, good value for money."
151,Superb display and fast processing speed. Great features in this budget fone but poor camera quality.
152,Great features in this budget fone but poor camera quality. Best smartphone I've ever owned.
153,Superb display and fast processing speed. Superb display and fast processing speed.
154,"Would not recommend it!!! The battery life is terrible, very disappointing. Best smartphone I've ever owned."
155,"Terrible design, phone's very uncomfortable to hold. Excellent performance and a crisp UI."
156,"Would not recommend it!!! The battery life is terrible, very disappointing. Would not recommend it!!! The battery life is terrible, very disappointing."
157,"Great features in this budget fone but poor camera quality. Not worth the price, very underwhelming product."
158,"Great features in this budget fone but poor camera quality. Satisfied with the purchase, good value for money."
159,"Not worth the price, very underwhelming product. Excellent performance and a crisp UI."
160,"Excellent performance and a crisp UI. Not worth the price, very underwhelming product."
161,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Superb display and fast processing speed."
162,"Great features in this budget fone but poor camera quality. Satisfied with the purchase, good value for money."
163,Horrible customer service so I'll never recommend going for this phone. Best smartphone I've ever owned.
164,"Not worth the price, very underwhelming product. Superb display and fast processing speed."
165,Best smartphone I've ever owned. Superb display and fast processing speed.
166,"Terrible design, phone's very uncomfortable to hold. Excellent performance and a crisp UI."
167,Excellent performance and a crisp UI. Horrible customer service so I'll never recommend going for this phone.
168,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Terrible design, phone's very uncomfortable to hold."
169,"Would not recommend it!!! The battery life is terrible, very disappointing. Not worth the price, very underwhelming product."
170,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Satisfied with the purchase, good value for money."
171,"Not worth the price, very underwhelming product. Would not recommend it!!! The battery life is terrible, very disappointing."
172,"Not worth the price, very underwhelming product. Terrible design, phone's very uncomfortable to hold."
173,"Satisfied with the purchase, good value for money. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
174,"Excellent performance and a crisp UI. Not worth the price, very underwhelming product."
175,"Satisfied with the purchase, good value for money. Excellent performance and a crisp UI."
176,"Horrible customer service so I'll never recommend going for this phone. Terrible design, phone's very uncomfortable to hold."
177,"Would not recommend it!!! The battery life is terrible, very disappointing. Satisfied with the purchase, good value for money."
178,Horrible customer service so I'll never recommend going for this phone. Horrible customer service so I'll never recommend going for this phone.
179,"Satisfied with the purchase, good value for money. Satisfied with the purchase, good value for money."
180,"Terrible design, phone's very uncomfortable to hold. Best smartphone I've ever owned."
181,"Great features in this budget fone but poor camera quality. Not worth the price, very underwhelming product."
182,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Best smartphone I've ever owned."
183,"Terrible design, phone's very uncomfortable to hold. Would not recommend it!!! The battery life is terrible, very disappointing."
184,"Not worth the price, very underwhelming product. Excellent performance and a crisp UI."
185,"Best smartphone I've ever owned. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
186,"Satisfied with the purchase, good value for money. Horrible customer service so I'll never recommend going for this phone."
187,"Would not recommend it!!! The battery life is terrible, very disappointing. Excellent performance and a crisp UI."
188,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Superb display and fast processing speed."
189,"Horrible customer service so I'll never recommend going for this phone. Terrible design, phone's very uncomfortable to hold."
190,"Satisfied with the purchase, good value for money. Terrible design, phone's very uncomfortable to hold."
191,Superb display and fast processing speed. Superb display and fast processing speed.
192,"Not worth the price, very underwhelming product. Not worth the price, very underwhelming product."
193,Best smartphone I've ever owned. Horrible customer service so I'll never recommend going for this phone.
194,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Would not recommend it!!! The battery life is terrible, very disappointing."
195,"I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant. Not worth the price, very underwhelming product."
196,Excellent performance and a crisp UI. Best smartphone I've ever owned.
197,"Great features in this budget fone but poor camera quality. I love my new smartphone, it's shiny and amazing! ğŸ˜ğŸ“± The design is sleek and the display is simply brilliant."
198,"Terrible design, phone's very uncomfortable to hold. Not worth the price, very underwhelming product."
199,"Satisfied with the purchase, good value for money. Terrible design, phone's very uncomfortable to hold."
200,"Great features in this budget fone but poor camera quality. Would not recommend it!!! The battery life is terrible, very disappointing."
